date,safegraph_place,visitor_home_cbg,number
2020-02-03,sg:8144cd3a2ac44a03a4e764b739d27355,511076117002,4
2020-02-03,sg:8144cd3a2ac44a03a4e764b739d27355,517600706012,4
2020-02-03,sg:8144cd3a2ac44a03a4e764b739d27355,511539016025,4
2020-02-03,sg:8144cd3a2ac44a03a4e764b739d27355,511076111023,4
2020-02-03,sg:5c0a8b19bf3c4c93a0aaa23afab03c96,511552106002,4
2020-02-03,sg:611ee406fd8d4561a2802bdc6f236b8b,517500102005,5
2020-02-03,sg:611ee406fd8d4561a2802bdc6f236b8b,511210201002,5
2020-02-03,sg:611ee406fd8d4561a2802bdc6f236b8b,510594826013,4
2020-02-03,sg:611ee406fd8d4561a2802bdc6f236b8b,371190057121,4
2020-02-03,sg:611ee406fd8d4561a2802bdc6f236b8b,511210203006,4
2020-02-03,sg:611ee406fd8d4561a2802bdc6f236b8b,540039718004,4
2020-02-03,sg:611ee406fd8d4561a2802bdc6f236b8b,511610305001,4
2020-02-03,sg:611ee406fd8d4561a2802bdc6f236b8b,511539012351,4
2020-02-03,sg:611ee406fd8d4561a2802bdc6f236b8b,511539015062,4
2020-02-03,sg:611ee406fd8d4561a2802bdc6f236b8b,511076119002,4
2020-02-03,sg:611ee406fd8d4561a2802bdc6f236b8b,511076101011,4
2020-02-03,sg:611ee406fd8d4561a2802bdc6f236b8b,511210205004,4
2020-02-03,sg:611ee406fd8d4561a2802bdc6f236b8b,511610312011,4
2020-02-03,sg:611ee406fd8d4561a2802bdc6f236b8b,511210209003,4
2020-02-03,sg:724e75fddf494a9d9f1202ef2eb8530d,511210210001,4
2020-02-03,sg:724e75fddf494a9d9f1202ef2eb8530d,511210202011,4
2020-02-03,sg:724e75fddf494a9d9f1202ef2eb8530d,511210208003,4
2020-02-03,sg:724e75fddf494a9d9f1202ef2eb8530d,511210203002,4
2020-02-03,sg:724e75fddf494a9d9f1202ef2eb8530d,511210212003,4
2020-02-03,sg:2315743e9e3d4cf8ade0fea17e396301,511210211003,5
2020-02-03,sg:2315743e9e3d4cf8ade0fea17e396301,511552104002,4
2020-02-03,sg:2315743e9e3d4cf8ade0fea17e396301,511552104005,4
2020-02-03,sg:2315743e9e3d4cf8ade0fea17e396301,511210209001,4
2020-02-03,sg:c6729dd08f3c47c29f8de9e0ed490813,
2020-02-03,sg:b88a4955712e463e845c67d8ea6d2403,510719303002,4
2020-02-03,sg:b88a4955712e463e845c67d8ea6d2403,511210213002,4
2020-02-03,sg:af564afa72b444298568270f963aa213,511552107001,4
2020-02-03,sg:af564afa72b444298568270f963aa213,511552104004,4
2020-02-03,sg:15e79d458d05465bb0af3eaa41853ffe,511552105002,4
2020-02-03,sg:75b6b512deb74c2ca2ce5a19597e2ae3,
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076112052,7
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110181,6
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,240430103001,5
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110182,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,240217530011,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,510690507001,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076118012,4
