placekey,safegraph_place_id,location_name,street_address,city,naics_code,latitude,longitude,postal_code
224-222@63r-syc-pgk,sg:c7c41fee13a54d4a999d184dfcd626a0,Leesburg Sterling Family Practice,44084 Riverside Pkwy Ste 300,Lansdowne,621111,39.076351,-77.473699,20176
222-223@63f-rw4-4qf,sg:f90c497be5064d4a967e01da7eb3a8cd,Brandi N Moore P A,110 Akers Farm Rd,Christiansburg,621111,37.147033,-80.41383499999999,24073
224-224@63r-sy9-8jv,sg:206b3df975354bbdb39190d66ddb2c17,Family & Cosmetic Dentistry of Lansdowne,19420 Golf Vista Plz Ste 210,Lansdowne,621210,39.078285,-77.483485,20176
222-222@63f-s2b-28v,sg:2e20a235059c4103b13ff0becabfd18e,Laurel Hill Church of Christ,4737 Shanklin Dr,Radford,813110,37.065201,-80.54115999999999,24141
22h-222@63r-sry-s89,sg:9dcd626520214f538acdd371876687a4,Jolie Nails,936 Edwards Ferry Rd NE,Leesburg,812113,39.115241,-77.540899,20176
224-222@63f-wgw-5vf,sg:a3d2ed0459c0484390cda48ba315eb16,Accent Landscaping,75 Nursery Ln,Christiansburg,444220,37.14031,-80.339803,24073
225-222@63f-ykr-cbk,sg:1caa583b06054a38b9715f8ee30e81ac,Morgans Chapel Umc,6540 New River Rd,Fairlawn,813110,37.143046000000005,-80.590802,24141
224-222@63f-yry-6x5,sg:0078bb1c54354067bd34ac22850f802c,Main Auto Spa,1401 N Main St,Blacksburg,811192,37.2468,-80.414865,24060
22m-222@63r-sry-d5f,sg:17548cde87eb4d5c8d82965063aa3ca8,Navigation Wealth Management Ameriprise Financial Services,113 E Market St Ste 220,Leesburg,523930,39.114490999999994,-77.562551,20176
224-222@63r-srr-pd9,sg:2034304700514ddc82cb11764c2d4d79,Smile Please Family Dental & Orthodontics,546 E Market St,Leesburg,621210,39.109309,-77.550289,20176
zzw-223@63f-yb4-hqz,sg:763aaefb5fdb4afcb4f726f739f67846,Little Caesars,7414 Lee Hwy,Fairlawn,722513,37.143904,-80.582362,24141
zzy-222@63f-rvr-f2k,sg:4a542ce1c09a40ea9f1491a7bf39d41e,Sunset Cemetery,501 S Franklin St,Christiansburg,812210,37.125042,-80.404465,24073
223-223@63f-y7q-xkf,sg:fa8a0c38ba1b319f9684415aad91a6d5,Exxon Mobil,109 Blue Grass Trl,Newport,447110,37.290335,-80.498711,24128
zzw-222@63r-srz-pn5,sg:0637da363f964506bade13a542797022,Little Caesars,703 E Market St,Leesburg,722513,39.106014,-77.549701,20176
227-223@63f-yb6-f75,sg:086e7b3cae5141a9945eb188982c71f9,Roma Pizza,501 E Main St,Radford,722513,37.135831,-80.542788,24141
225-22d@63f-yry-7nq,sg:09c42090b8034dedac3fff28e1700c5b,Jason Bradley Taylor RE MAX 8,1344 N Main St,Blacksburg,531210,37.245646,-80.414951,24060
225-226@63f-yry-7nq,sg:883a405639304eafbba574a51cd94552,Andrew Washburn RE MAX 8,1344 N Main St,Blacksburg,531210,37.245670000000004,-80.414964,24060
222-224@63f-yb5-py9,sg:208441720a084fcebc81b85bcec30b45,Food Lion,1200 Tyler Ave,Radford,445110,37.1282,-80.546927,24141
222-222@63f-ybv-nwk,sg:214625c3abe04b4fb12d9fa83deb1e83,Old Navy,115 Shoppers Way,Christiansburg,448140,37.1674,-80.424319,24073
zzw-223@63f-ybq-rp9,sg:11e568491aff4d028a7d0de654936b9a,Great Clips,712 N Main St Ste 101,Blacksburg,812112,37.235541,-80.420661,24060
224-223@63r-ss2-3qz,sg:60ce72d13e1446d1b938c11f81ef625a,Fort Evans Plaza II,524 Fort Evans Rd,Leesburg,531120,39.106987,-77.528446,20176
222-222@63f-rvy-7dv,sg:6fdfe1eb16724c2986769504cd0d3c80,AutoZone,1100 Roanoke St,Christiansburg,441310,37.134799,-80.387701,24073
zzy-222@63f-wzr-3kf,sg:a248b531d92946f2834071d50b7a66e6,Furrow Cemetery,Furrow Cemetery,Catawba,812220,37.381232000000004,-80.245891,24070
227-222@63f-ykx-rrk,sg:53332ec7b6024f40b3f8bfd2fe53de21,Troy's Steak Subs & Pizza,7339 Peppers Ferry Blvd,Fairlawn,722511,37.149528000000004,-80.584541,24141
zzw-222@63f-wgz-5xq,sg:980bea68de324da49954f2773cffaa5f,Hardee's,2347 Roanoke St,Christiansburg,722513,37.135659999999994,-80.362946,24073
223-222@63f-yb4-nwk,sg:d60d97f3760241c3b2b3ae956fa37dda,NRV Furniture & Mattress Center,125 W Main St,Radford,442110,37.135313000000004,-80.573661,24141
222-222@63f-y98-nbk,sg:5a779d34851f41d2a81872fcac8259cb,Farmland Equipment,3612 Radford Rd,Plum Creek,444210,37.128901,-80.50881,24073
228-222@63f-yc2-9mk,sg:cac7794747564570a56abccd19b4c44d,Starbucks,2475 N Franklin St,Christiansburg,722515,37.163321999999994,-80.422674,24073
223-222@63f-ybp-n89,sg:0184d31db110480db0a853fe2b57d428,Burger 37,290 College Ave,Blacksburg,722513,37.22963,-80.417989,24061
224-222@63f-yb4-j9z,sg:3afc8510ec354bc7b9e5738b0ac36a59,Northside Chevron,7447 Lee Hwy,Fairlawn,447110,37.143177,-80.580232,24141
zzy-222@63r-srz-f2k,sg:8f68035200c74ac79139d8fba8914e48,Hugo Boss,241 241 Fort Evans Road Suite #731,Leesburg,448140,39.105927,-77.538255,20176
222-223@63f-ybf-2tv,sg:29fe741e70dd42a484bd5f6690703ee7,Fas Mart,1710 Prices Fork Rd,Blacksburg,447110,37.226031,-80.444082,24060
22d-222@63r-syb-zzz,sg:46b34143bd5742578872b3c9c172003d,FYSICAL,19490 Sandridge Way Ste 230,Lansdowne,621340,39.076839,-77.481822,20176
