"cbg_lon","cbg_lat","POI_lon","POI_lat","Distance"
-80.7479027179401,37.0583454300202,-80.688501,37.103702,9.0557
-80.400634192601,37.2208104225205,-80.410628,37.202764,4.5272
-80.5425001669868,37.2360813132422,-80.410628,37.202764,17.1031
-80.571014433521,37.1065725449696,-80.570215,37.130035,3.8892
-80.5155951820541,37.165731378536,-80.403838,37.219673,16.1033
-80.3987463322782,37.1433057723703,-80.414819,37.187679,7.4814
-80.441983608909,37.0574211506616,-80.414819,37.187679,17.9275
-80.3760695567766,37.2659953569513,-80.414819,37.187679,18.8308
-80.7655175774074,37.0502467887587,-80.55831,37.140107,25.0432
-80.577657812116,37.1257874482377,-80.419483,37.169846,20.7787
-80.3559510485379,37.1195735878574,-80.577859,37.130759,27.6893
-80.4798034987174,37.1978533939219,-80.577859,37.130759,16.9375
-80.7595876023879,37.0646169001196,-80.719777,37.099039,5.861
-80.3760695567766,37.2659953569513,-80.42043,37.23362,6.6733
-80.455075106728,37.2577588997268,-80.42043,37.23362,6.0668
-80.3838843581547,37.1998723788212,-80.42043,37.23362,5.6016
-80.4393919807025,37.2136906174922,-80.42043,37.23362,4.02
-80.4230522771977,37.1949907774553,-80.42043,37.23362,10.537
-80.4291605025331,37.2369284305253,-80.42043,37.23362,1.217
-80.4349699868985,37.1353908799497,-80.42043,37.23362,17.6901
-80.4578973784107,37.2345629223309,-80.42043,37.23362,4.0752
-80.4798034987174,37.1978533939219,-80.42043,37.23362,9.145
-80.4291467643884,37.2239855730249,-80.42043,37.23362,1.95
-80.5425001669868,37.2360813132422,-80.42043,37.23362,14.5388
-80.7239549807624,37.0746631067882,-80.42043,37.23362,36.8442
-80.4377904808155,37.151479232381,-80.42043,37.23362,14.969
-80.4242339167959,37.153706162723,-80.42043,37.23362,13.4289
-80.3987463322782,37.1433057723703,-80.42043,37.23362,14.6176
-80.4574066136827,37.2097752851342,-80.42043,37.23362,6.0266
-80.5560601371691,37.1415338530079,-80.42043,37.23362,23.2872
-80.4479352449641,37.2132369214273,-80.42043,37.23362,4.5599
-80.7655175774074,37.0502467887587,-80.42043,37.23362,50.5009
-80.4206588934699,37.2248755674189,-80.42043,37.23362,2.153
-80.3981818301184,37.1349446950913,-80.398339,37.206028,10.0489
-80.6519380294966,37.1456430959619,-80.683986,37.105729,5.859
-80.5417277897169,37.1366834567208,-80.683986,37.105729,15.3033
-80.5155951820541,37.165731378536,-80.414814,37.187535,12.7544
-80.3756109112971,37.1632548804573,-80.414814,37.187535,8.1127
-80.3559510485379,37.1195735878574,-80.398389,37.205269,13.125
-80.3838843581547,37.1998723788212,-80.398389,37.205269,2.4179
